ptid,methods,Analyte,Type,Well,Description,FI,FI - Bkgd,Std Dev,%CV,Conc in Range,Obs Conc,Obs Conc Std Dev,Obs Conc %CV,Exp Conc,(Obs/Exp) * 100,Dilution,Bead Count,batch.x,Sample ID,Conditions,Dilution factor,Note,protein concentration (mcg/ml),batch.y,Sample,normCon
4027,tissue,IL-13 (35),X25,"A9,B9",Sample ID: 4027 tissue,205.5,186,4.95,2.41,87.99,87.99,2.27,2.58,NA,NA,1,"100,122",expt1,4027 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2344.8839,expt1,NA,0.037524246
4031,epithelial brushings,IL-13 (35),X6,"C4,D4",Sample ID: 4031 Pellet,397.5,379.5,293.45,73.82,75.3,75.3,54.9,73.72,NA,NA,1,"23,210",expt2,4031 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,4736.2218,expt2,X6,0.015898749
4031,mucus,IL-13 (35),X24,"G8,H8",Sample ID: 4031 Sponge,152.5,134.5,13.44,8.81,28.13,28.13,2.72,9.69,NA,NA,1,"139,263",expt2,4031 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X24,NA
4031,tissue,IL-13 (35),X16,"G6,H6",Sample ID: 4031 Tissue,62.5,44.5,0.71,1.13,9.05,9.05,0.16,1.78,NA,NA,1,"67,67",expt2,4031 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,1624.8469,expt2,X16,0.005569756
4034,epithelial brushings,IL-13 (35),X12,"G5,H5",Sample ID: 4034 Pellet,573,553.5,656.9,114.64,255.7,255.7,299.75,117.4,NA,NA,1,"10,14",expt1,4034 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,4327.4266,expt1,NA,0.059088235
4034,mucus,IL-13 (35),X36,"G11,H11",Sample ID: 4034 mucus,106,86.5,7.07,6.67,84.44,84.44,6.53,7.74,NA,NA,2,"111,105",expt1,4034 mucus,AERD+nosteroids,2,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4034,tissue,IL-13 (35),X26,"C9,D9",Sample ID: 4034 tissue,49.5,30,7.78,15.71,15.99,15.99,3.63,22.73,NA,NA,1,"91,101",expt1,4034 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2442.4373,expt1,NA,0.006546739
4037,epithelial brushings,IL-13 (35),X7,"E4,F4",Sample ID: 4037 Pellet,1397.5,1379.5,34.65,2.48,253.26,253.26,6.04,2.39,NA,NA,1,"50,45",expt2,4037 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,3765.3332,expt2,X7,0.06726098
4037,mucus,IL-13 (35),X25,"A9,B9",Sample ID: 4037 Sponge,23.5,5.5,3.54,15.04,OOR <,NA,NA,NA,NA,NA,1,"72,79",expt2,4037 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X25,NA
4040,epithelial brushings,IL-13 (35),X13,"A6,B6",Sample ID: 4040 Pellet,230.3,210.8,44.9,19.5,297.99,297.99,61.7,20.71,NA,NA,3,"50,50",expt1,4040 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,2789.7992,expt1,NA,0.106814139
4040,mucus,IL-13 (35),X37,"A12,B12",Sample ID: 4040 mucus,121.3,101.8,6.01,4.96,49.26,49.26,2.77,5.63,NA,NA,1,"146,146",expt1,4040 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4040,tissue,IL-13 (35),X27,"E9,F9",Sample ID: 4040 tissue,189.3,169.8,10.25,5.42,80.53,80.53,4.71,5.84,NA,NA,1,"50,86",expt1,4040 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,4586.2894,expt1,NA,0.017558857
4042,epithelial brushings,IL-13 (35),X14,"C6,D6",Sample ID: 4042 Pellet,663.5,644,4.24,0.64,296.91,296.91,1.93,0.65,NA,NA,1,"50,50",expt1,4042 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2385.6494,expt1,NA,0.124456678
4042,mucus,IL-13 (35),X38,"C12,D12",Sample ID: 4042 mucus,27.8,8.3,1.06,3.82,OOR <,5.78,0.5,8.68,NA,NA,1,"192,246",expt1,4042 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4042,tissue,IL-13 (35),X28,"G9,H9",Sample ID: 4042 tissue,36.8,17.3,0.35,0.96,10.02,10.02,0.17,1.66,NA,NA,1,"5,10",expt1,4042 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1557.4886,expt1,NA,0.006433434
4048,epithelial brushings,IL-13 (35),X15,"E6,F6",Sample ID: 4048 Pellet,123.5,104,4.95,4.01,50.3,50.3,2.28,4.54,NA,NA,1,"45,50",expt1,4048 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3008.133,expt1,NA,0.016721335
4048,mucus,IL-13 (35),X39,"E12,F12",Sample ID: 4048 mucus,864.5,845,33.23,3.84,388.44,388.44,15.14,3.9,NA,NA,1,"87,145",expt1,4048 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4048,tissue,IL-13 (35),X29,"A10,B10",Sample ID: 4048 tissue,233.3,213.8,1.77,0.76,100.7,100.7,0.81,0.8,NA,NA,1,"82,75",expt1,4048 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2605.0263,expt1,NA,0.03865604
4049,epithelial brushings,IL-13 (35),X16,"G6,H6",Sample ID: 4049 Pellet,89.5,70,7.07,7.9,34.59,34.59,3.27,9.47,NA,NA,1,"62,50",expt1,4049 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3514.4816,expt1,NA,0.009842134
4049,mucus,IL-13 (35),X40,"G12,H12",Sample ID: 4049 mucus,30,10.5,4.24,14.14,OOR <,6.84,2,29.28,NA,NA,1,"110,133",expt1,4049 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4049,tissue,IL-13 (35),X30,"C10,D10",Sample ID: 4049 tissue,144.3,124.8,0.35,0.25,59.85,59.85,0.16,0.27,NA,NA,1,"50,51",expt1,4049 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2279.8483,expt1,NA,0.026251747
4051,epithelial brushings,IL-13 (35),X8,"G4,H4",Sample ID: 4051 Pellet,119.5,101.5,9.19,7.69,21.36,21.36,1.91,8.96,NA,NA,1,"61,75",expt2,4051 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,5154.3078,expt2,X8,0.004144106
4051,mucus,IL-13 (35),X26,"C9,D9",Sample ID: 4051 Sponge,24.5,6.5,0.71,2.89,OOR <,NA,NA,NA,NA,NA,2,"87,128",expt2,4051 Sponge,AERD+steroids,2,nasal mucus eluted in PI solution,NA,expt2,X26,NA
4051,tissue,IL-13 (35),X17,"A7,B7",Sample ID: 4051 Tissue,40.5,22.5,0.71,1.75,OOR <,3.85,0.18,4.56,NA,NA,1,"61,50",expt2,4051 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,5529.3056,expt2,X17,0.00069629
4078,epithelial brushings,IL-13 (35),X9,"A5,B5",Sample ID: 4078 pellet,386.8,368.8,47.73,12.34,146.6,146.6,17.8,12.14,NA,NA,2,"15,14",expt2,4078 pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,6298.968,expt2,X9,0.023273654
4078,mucus,IL-13 (35),X27,"E9,F9",Sample ID: 4078 Sponge,196,178,7.07,3.61,36.84,36.84,1.4,3.8,NA,NA,1,"59,75",expt2,4078 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X27,NA
4078,tissue,IL-13 (35),X18,"C7,D7",Sample ID: 4078 Tissue,151.8,133.8,5.3,3.49,27.98,27.98,1.08,3.84,NA,NA,1,"50,50",expt2,4078 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,3054.789,expt2,X18,0.009159389
0,Background,IL-17A (39),B,"A1,B1",Reagent Name: Background0,113.5,113.5,6.36,5.61,NA,NA,NA,NA,NA,NA,1,"87,72",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
0,Background,IL-17A (39),B,"A1,B1",Reagent Name: Background0,73.5,73.5,4.95,6.73,NA,NA,NA,NA,NA,NA,1,"93,63",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,IL-17A (39),X1,"A3,B3",Sample ID: QC1,1250,1136.5,131.52,10.52,212.77,212.77,25.6,12.03,NA,NA,1,"66,99",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,IL-17A (39),X1,"A3,B3",Sample ID: QC1,2218.5,2145,106.77,4.81,207.64,207.64,10.26,4.94,NA,NA,1,"101,97",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,IL-17A (39),S1,"C1,D1",Reagent Name: Standard1,175,61.5,5.66,3.23,12.44,12.44,0.96,7.72,12.21,102,1,"68,71",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,IL-17A (39),S1,"C1,D1",Reagent Name: Standard1,208,134.5,4.24,2.04,12.22,12.22,0.44,3.6,12.21,100,1,"103,85",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,IL-17A (39),X2,"C3,D3",Sample ID: QC2,9539,9425.5,207.89,2.18,2110.97,2110.97,55.17,2.61,NA,NA,1,"72,103",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,IL-17A (39),X2,"C3,D3",Sample ID: QC2,17037.5,16964,245.37,1.44,1936.54,1936.54,37.21,1.92,NA,NA,1,"81,70",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,IL-17A (39),S2,"E1,F1",Reagent Name: Standard2,375,261.5,24.04,6.41,47.63,47.63,4.33,9.1,48.83,98,1,"88,61",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,IL-17A (39),S2,"E1,F1",Reagent Name: Standard2,573,499.5,4.24,0.74,48.86,48.86,0.42,0.86,48.83,100,1,"119,69",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,IL-17A (39),S3,"G1,H1",Reagent Name: Standard3,1163.5,1050,7.78,0.67,195.97,195.97,1.51,0.77,195.31,100,1,"77,92",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,IL-17A (39),S3,"G1,H1",Reagent Name: Standard3,2067.8,1994.3,31.47,1.52,193.17,193.17,3.02,1.56,195.31,99,1,"94,72",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,IL-17A (39),S4,"A2,B2",Reagent Name: Standard4,4088.3,3974.8,290.97,7.12,800.13,800.13,63.45,7.93,781.25,102,1,"102,90",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,IL-17A (39),S4,"A2,B2",Reagent Name: Standard4,8102.5,8029,232.64,2.87,801.34,801.34,25.16,3.14,781.25,103,1,"103,121",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,IL-17A (39),S5,"C2,D2",Reagent Name: Standard5,12825,12711.5,197.99,1.54,3043.08,3043.08,60.1,1.97,3125,97,1,"91,63",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,IL-17A (39),S5,"C2,D2",Reagent Name: Standard5,23028.5,22955,357.09,1.55,2999.78,2999.78,74.6,2.49,3125,96,1,"109,117",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,IL-17A (39),S6,"E2,F2",Reagent Name: Standard6,31005.5,30892,129.4,0.42,12853.58,12853.58,130.61,1.02,12500,103,1,"73,85",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,IL-17A (39),S6,"E2,F2",Reagent Name: Standard6,42005.3,41931.8,341.18,0.81,14414.8,14414.8,654.77,4.54,12500,115,1,"91,82",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,IL-17A (39),S7,"G2,H2",Reagent Name: Standard7,42922.3,42808.8,89.45,0.21,48368.37,48368.37,850.93,1.76,50000,97,1,"58,112",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,IL-17A (39),S7,"G2,H2",Reagent Name: Standard7,46775.5,46702,738.93,1.58,38534.49,38534.49,10780.07,26.9,50000,77,1,"96,57",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3991,epithelial brushings,IL-17A (39),X3,"E3,F3",Sample ID: 3991 Pellet,118.5,45,2.12,1.79,OOR <,2.73,0.23,8.57,NA,NA,1,"16,13",expt2,3991 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,1465.8602,expt2,X3,0.001862388
3994,epithelial brushings,IL-17A (39),X3,"E3,F3",Sample ID: 3994 Pellet,122,8.5,1.41,1.16,OOR <,3.64,0.23,6.24,NA,NA,1,"60,61",expt1,3994 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3105.6864,expt1,NA,0.001172044
3994,tissue,IL-17A (39),X17,"A7,B7",Sample ID: 3994 tissue,56.5,-57,2.12,3.75,OOR <,NA,NA,NA,NA,NA,1,"83,135",expt1,3994 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2191.5857,expt1,NA,NA
3995,epithelial brushings,IL-17A (39),X4,"G3,H3",Sample ID: 3995 Pellet,207.3,93.8,2.47,1.19,35.91,35.91,0.85,2.38,NA,NA,2,"100,97",expt1,3995 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,1948.9818,expt1,NA,0.018425005
3995,tissue,IL-17A (39),X18,"C7,D7",Sample ID: 3995 tissue,70.5,-43,0.71,1,OOR <,NA,NA,NA,NA,NA,1,"78,74",expt1,3995 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1641.1058,expt1,NA,NA
3996,epithelial brushings,IL-17A (39),X5,"A4,B4",Sample ID: 3996 Pellet,176.5,63,61.52,34.85,12.69,12.69,10.42,81.45,NA,NA,1,"3,17",expt1,3996 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2915.225,expt1,NA,0.004353009
3996,tissue,IL-17A (39),X19,"E7,F7",Sample ID: 3996 tissue,53.5,-60,0.71,1.32,OOR <,NA,NA,NA,NA,NA,1,"93,79",expt1,3996 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,3099.7614,expt1,NA,NA
3999,epithelial brushings,IL-17A (39),X4,"G3,H3",Sample ID: 3999 Pellet,240.8,167.3,3.18,1.32,31.2,31.2,0.65,2.09,NA,NA,2,"101,90",expt2,3999 Pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,3723.5246,expt2,X4,0.008379158
3999,tissue,IL-17A (39),X14,"C6,D6",Sample ID: 3999 Tissue,92,18.5,4.24,4.61,OOR <,NA,0,0,NA,NA,1,"127,97",expt2,3999 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,2651.4803,expt2,X14,NA
4001,epithelial brushings,IL-17A (39),X5,"A4,B4",Sample ID: 4001 Pellet,159.5,86,6.36,3.99,OOR <,7.14,0.67,9.44,NA,NA,1,"71,107",expt2,4001 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,7202.9292,expt2,X5,0.000991263
4001,mucus,IL-17A (39),X23,"E8,F8",Sample ID: 4001 Sponge,160.5,87,23.33,14.54,OOR <,7.25,2.47,34.14,NA,NA,1,"163,125",expt2,4001 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X23,NA
4001,tissue,IL-17A (39),X15,"E6,F6",Sample ID: 4001 Tissue,278,204.5,16.97,6.1,19.41,19.41,1.73,8.9,NA,NA,1,"133,97",expt2,4001 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,6925.2483,expt2,X15,0.002802788
4002,epithelial brushings,IL-17A (39),X6,"C4,D4",Sample ID: 4002 Pellet,395,281.5,42.43,10.74,51.25,51.25,7.67,14.97,NA,NA,1,"63,88",expt1,4002 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,4935.974,expt1,NA,0.010382956
4002,mucus,IL-17A (39),X31,"E10,F10",Sample ID: 4002 mucus,249.5,136,19.09,7.65,25.3,25.3,3.34,13.21,NA,NA,1,"82,85",expt1,4002 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4002,tissue,IL-17A (39),X20,"G7,H7",Sample ID: 4002 tissue,208.5,95,2.12,1.02,18.17,18.17,0.37,2.01,NA,NA,1,"127,86",expt1,4002 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1313.6051,expt1,NA,0.013832163
4006,epithelial brushings,IL-17A (39),X7,"E4,F4",Sample ID: 4006 Pellet,136.5,23,6.36,4.66,OOR <,18,3.14,17.42,NA,NA,3,"98,100",expt1,4006 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,1767.8112,expt1,NA,0.010182083
4006,mucus,IL-17A (39),X32,"G10,H10",Sample ID: 4006 mucus,55.8,-57.8,8.84,15.85,OOR <,NA,NA,NA,NA,NA,1,"96,119",expt1,4006 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4006,tissue,IL-17A (39),X21,"A8,B8",Sample ID: 4006 tissue,80,-33.5,4.24,5.3,OOR <,NA,NA,NA,NA,NA,1,"80,80",expt1,4006 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,386.8478,expt1,NA,NA
4007,epithelial brushings,IL-17A (39),X8,"G4,H4",Sample ID: 4007 Pellet,118,4.5,4.24,3.6,OOR <,9,2.03,22.51,NA,NA,3,"203,146",expt1,4007 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,2018.6628,expt1,NA,0.004458397
4007,tissue,IL-17A (39),X22,"C8,D8",Sample ID: 4007 tissue,69,-44.5,2.83,4.1,OOR <,NA,NA,NA,NA,NA,1,"34,39",expt1,4007 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2207.8446,expt1,NA,NA
4012,epithelial brushings,IL-17A (39),X9,"A5,B5",Sample ID: 4012 Pellet,92,-21.5,19.8,21.52,OOR <,NA,0,0,NA,NA,2,"31,31",expt1,4012 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,3556.2902,expt1,NA,NA
4012,mucus,IL-17A (39),X33,"A11,B11",Sample ID: 4012 mucus,72.3,-41.3,4.6,6.36,OOR <,NA,NA,NA,NA,NA,1,"104,95",expt1,4012 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4012,tissue,IL-17A (39),X23,"E8,F8",Sample ID: 4012 tissue,67.8,-45.8,3.89,5.74,OOR <,NA,NA,NA,NA,NA,1,"31,34",expt1,4012 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,3155.5062,expt1,NA,NA
4023,epithelial brushings,IL-17A (39),X10,"C5,D5",Sample ID: 4023 Pellet,308.3,194.8,18.74,6.08,35.68,35.68,3.33,9.34,NA,NA,1,"58,72",expt1,4023 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,6682.6444,expt1,NA,0.005339204
4023,mucus,IL-17A (39),X34,"C11,D11",Sample ID: 4023 mucus,92,-21.5,12.73,13.83,OOR <,NA,0,0,NA,NA,1,"136,102",expt1,4023 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4023,tissue,IL-17A (39),X24,"G8,H8",Sample ID: 4023 tissue,82,-31.5,4.24,5.17,OOR <,NA,NA,NA,NA,NA,1,"109,101",expt1,4023 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,4142.6537,expt1,NA,NA
4027,epithelial brushings,IL-17A (39),X11,"E5,F5",Sample ID: 4027 Pellet,106.5,-7,4.95,4.65,OOR <,2.4,1.51,62.74,NA,NA,2,"33,54",expt1,4027 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,2966.3244,expt1,NA,0.000809082
4027,mucus,IL-17A (39),X35,"E11,F11",Sample ID: 4027 mucus,55,-58.5,2.12,3.86,OOR <,NA,NA,NA,NA,NA,1,"84,90",expt1,4027 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4027,tissue,IL-17A (39),X25,"A9,B9",Sample ID: 4027 tissue,75.5,-38,7.78,10.3,OOR <,NA,NA,NA,NA,NA,1,"50,98",expt1,4027 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2344.8839,expt1,NA,NA
4031,epithelial brushings,IL-17A (39),X6,"C4,D4",Sample ID: 4031 Pellet,192.3,118.8,99.35,51.68,OOR <,10.58,10.4,99.38,NA,NA,1,"48,69",expt2,4031 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,4736.2218,expt2,X6,0.002233848
4031,mucus,IL-17A (39),X24,"G8,H8",Sample ID: 4031 Sponge,86,12.5,11.31,13.16,OOR <,NA,NA,NA,NA,NA,1,"61,142",expt2,4031 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X24,NA
4031,tissue,IL-17A (39),X16,"G6,H6",Sample ID: 4031 Tissue,53.5,-20,2.12,3.97,OOR <,NA,NA,NA,NA,NA,1,"111,109",expt2,4031 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,1624.8469,expt2,X16,NA
4034,epithelial brushings,IL-17A (39),X12,"G5,H5",Sample ID: 4034 Pellet,173.8,60.3,50.56,29.1,OOR <,12.23,8.56,69.59,NA,NA,1,"21,18",expt1,4034 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,4327.4266,expt1,NA,0.00282616
4034,mucus,IL-17A (39),X36,"G11,H11",Sample ID: 4034 mucus,149.3,35.8,6.01,4.03,OOR <,16.22,2,12.34,NA,NA,2,"73,98",expt1,4034 mucus,AERD+nosteroids,2,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4034,tissue,IL-17A (39),X26,"C9,D9",Sample ID: 4034 tissue,64.8,-48.8,4.6,7.1,OOR <,NA,NA,NA,NA,NA,1,"124,109",expt1,4034 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2442.4373,expt1,NA,NA
4037,epithelial brushings,IL-17A (39),X7,"E4,F4",Sample ID: 4037 Pellet,96,22.5,1.41,1.47,OOR <,0.17,0.18,107.81,NA,NA,1,"331,338",expt2,4037 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,3765.3332,expt2,X7,4.51E-05
4037,mucus,IL-17A (39),X25,"A9,B9",Sample ID: 4037 Sponge,46,-27.5,0,0,OOR <,NA,NA,NA,NA,NA,1,"122,92",expt2,4037 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X25,NA
4040,epithelial brushings,IL-17A (39),X13,"A6,B6",Sample ID: 4040 Pellet,144,30.5,2.83,1.96,OOR <,21.71,1.41,6.47,NA,NA,3,"192,193",expt1,4040 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,2789.7992,expt1,NA,0.007781922
4040,mucus,IL-17A (39),X37,"A12,B12",Sample ID: 4040 mucus,89.5,-24,6.36,7.11,OOR <,NA,NA,NA,NA,NA,1,"86,77",expt1,4040 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4040,tissue,IL-17A (39),X27,"E9,F9",Sample ID: 4040 tissue,54.8,-58.8,3.18,5.81,OOR <,NA,NA,NA,NA,NA,1,"85,114",expt1,4040 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,4586.2894,expt1,NA,NA
4042,epithelial brushings,IL-17A (39),X14,"C6,D6",Sample ID: 4042 Pellet,173.5,60,4.24,2.45,OOR <,12.18,0.72,5.9,NA,NA,1,"236,148",expt1,4042 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2385.6494,expt1,NA,0.005105528
4042,mucus,IL-17A (39),X38,"C12,D12",Sample ID: 4042 mucus,105.5,-8,3.54,3.35,OOR <,1.05,0.54,51.14,NA,NA,1,"124,157",expt1,4042 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4042,tissue,IL-17A (39),X28,"G9,H9",Sample ID: 4042 tissue,63,-50.5,1.41,2.24,OOR <,NA,NA,NA,NA,NA,1,"90,153",expt1,4042 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1557.4886,expt1,NA,NA
4048,epithelial brushings,IL-17A (39),X15,"E6,F6",Sample ID: 4048 Pellet,194,80.5,1.41,0.73,15.68,15.68,0.24,1.55,NA,NA,1,"98,89",expt1,4048 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3008.133,expt1,NA,0.005212535
4048,mucus,IL-17A (39),X39,"E12,F12",Sample ID: 4048 mucus,101.5,-12,4.95,4.88,OOR <,0.45,0,0,NA,NA,1,"75,126",expt1,4048 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4048,tissue,IL-17A (39),X29,"A10,B10",Sample ID: 4048 tissue,102.5,-11,0.71,0.69,OOR <,0.6,0.1,17.59,NA,NA,1,"103,85",expt1,4048 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2605.0263,expt1,NA,0.000230324
4049,epithelial brushings,IL-17A (39),X16,"G6,H6",Sample ID: 4049 Pellet,106.3,-7.3,1.06,1,OOR <,1.16,0.16,13.95,NA,NA,1,"69,82",expt1,4049 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3514.4816,expt1,NA,0.000330063
4049,mucus,IL-17A (39),X40,"G12,H12",Sample ID: 4049 mucus,59.5,-54,2.12,3.57,OOR <,NA,NA,NA,NA,NA,1,"79,105",expt1,4049 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4049,tissue,IL-17A (39),X30,"C10,D10",Sample ID: 4049 tissue,61.3,-52.3,3.18,5.2,OOR <,NA,NA,NA,NA,NA,1,"98,77",expt1,4049 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2279.8483,expt1,NA,NA
4051,epithelial brushings,IL-17A (39),X8,"G4,H4",Sample ID: 4051 Pellet,155.3,81.8,25.1,16.17,OOR <,6.69,2.67,39.93,NA,NA,1,"51,50",expt2,4051 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,5154.3078,expt2,X8,0.001297943
4051,mucus,IL-17A (39),X26,"C9,D9",Sample ID: 4051 Sponge,58.3,-15.3,5.3,9.1,OOR <,NA,NA,NA,NA,NA,2,"95,106",expt2,4051 Sponge,AERD+steroids,2,nasal mucus eluted in PI solution,NA,expt2,X26,NA
4051,tissue,IL-17A (39),X17,"A7,B7",Sample ID: 4051 Tissue,43.5,-30,0.71,1.63,OOR <,NA,NA,NA,NA,NA,1,"129,127",expt2,4051 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,5529.3056,expt2,X17,NA
4078,epithelial brushings,IL-17A (39),X9,"A5,B5",Sample ID: 4078 pellet,95,21.5,5.66,5.95,OOR <,0.08,0,0,NA,NA,2,"87,75",expt2,4078 pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,6298.968,expt2,X9,1.27E-05
4078,mucus,IL-17A (39),X27,"E9,F9",Sample ID: 4078 Sponge,95.3,21.8,3.18,3.34,OOR <,0.07,0,0,NA,NA,1,"94,112",expt2,4078 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X27,NA
4078,tissue,IL-17A (39),X18,"C7,D7",Sample ID: 4078 Tissue,53.3,-20.3,1.06,1.99,OOR <,NA,NA,NA,NA,NA,1,"307,420",expt2,4078 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,3054.789,expt2,X18,NA
0,Background,IL-17E/IL-25 (66),B,"A1,B1",Reagent Name: Background0,16.3,16.3,1.06,6.53,NA,NA,NA,NA,NA,NA,1,"73,66",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
